CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit_Name,Org_Type,Referral_Appointment_Time,Part,Total_referrals,Screening_sample_total,Clinical_indication,Highgrade_mod_severe,Inadequate,Borderline_changes,Mild_dyskaryosis,Moderate_dyskaryosis,Severe_dyskaryosis,Severe_dyskaryosis_Inv,Glandular_neoplasia,Clinical_Urgent,Clinical_Non_Urgent,Other
2022-23,N1,North East and Yorkshire,RFR,The Rotherham NHS Foundation Trust,Rotherham Hospital,Trust,<=6_weeks,A6,1508,not included,549,161,not included,not included,not included,not included,not included,5,1,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,Bridlington and District Hospital,Trust,Total_cases,A,57,not included,1,4,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,Bridlington and District Hospital,Trust,<=2_weeks,A,14,not included,0,4,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,Bridlington and District Hospital,Trust,<=4_weeks,A,33,not included,0,4,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,Bridlington and District Hospital,Trust,<=6_weeks,A6,52,not included,0,4,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,Scarborough General Hospital,Trust,Total_cases,A,1012,not included,17,164,not included,not included,not included,not included,not included,2,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,Scarborough General Hospital,Trust,<=2_weeks,A,488,not included,9,157,not included,not included,not included,not included,not included,2,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,Scarborough General Hospital,Trust,<=4_weeks,A,755,not included,14,164,not included,not included,not included,not included,not included,2,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,Scarborough General Hospital,Trust,<=6_weeks,A6,1010,not included,17,164,not included,not included,not included,not included,not included,2,9,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,York Hospital,Trust,Total_cases,A,770,not included,69,117,not included,not included,not included,not included,not included,3,4,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,York Hospital,Trust,<=2_weeks,A,266,not included,38,112,not included,not included,not included,not included,not included,3,4,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,York Hospital,Trust,<=4_weeks,A,434,not included,56,115,not included,not included,not included,not included,not included,3,4,not included,not included,not included
2022-23,N1,North East and Yorkshire,RCB,York Teaching Hospital NHS Foundation Trust,York Hospital,Trust,<=6_weeks,A6,747,not included,65,116,not included,not included,not included,not included,not included,3,4,not included,not included,not included
2022-23,N2,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Victoria Hospital,Trust,Total_cases,A,1824,not included,544,139,not included,not included,not included,not included,not included,1,4,not included,not included,not included
2022-23,N2,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Victoria Hospital,Trust,<=2_weeks,A,616,not included,448,139,not included,not included,not included,not included,not included,1,4,not included,not included,not included
2022-23,N2,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Victoria Hospital,Trust,<=4_weeks,A,881,not included,490,139,not included,not included,not included,not included,not included,1,4,not included,not included,not included
2022-23,N2,North West,RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Victoria Hospital,Trust,<=6_weeks,A6,1814,not included,542,139,not included,not included,not included,not included,not included,1,4,not included,not included,not included
2022-23,N2,North West,RMC,Bolton NHS Foundation Trust,Royal Bolton Hospital,Trust,Total_cases,A,972,not included,36,119,not included,not included,not included,not included,not included,4,3,not included,not included,not included
2022-23,N2,North West,RMC,Bolton NHS Foundation Trust,Royal Bolton Hospital,Trust,<=2_weeks,A,193,not included,17,119,not included,not included,not included,not included,not included,4,3,not included,not included,not included
2022-23,N2,North West,RMC,Bolton NHS Foundation Trust,Royal Bolton Hospital,Trust,<=4_weeks,A,478,not included,20,119,not included,not included,not included,not included,not included,4,3,not included,not included,not included
2022-23,N2,North West,RMC,Bolton NHS Foundation Trust,Royal Bolton Hospital,Trust,<=6_weeks,A6,969,not included,35,119,not included,not included,not included,not included,not included,4,3,not included,not included,not included
2022-23,N2,North West,RXR,East Lancashire Hospitals NHS Trust,Burnley General Hospital,Trust,Total_cases,A,2262,not included,278,261,not included,not included,not included,not included,not included,1,7,not included,not included,not included
2022-23,N2,North West,RXR,East Lancashire Hospitals NHS Trust,Burnley General Hospital,Trust,<=2_weeks,A,484,not included,86,254,not included,not included,not included,not included,not included,1,6,not included,not included,not included
2022-23,N2,North West,RXR,East Lancashire Hospitals NHS Trust,Burnley General Hospital,Trust,<=4_weeks,A,825,not included,152,260,not included,not included,not included,not included,not included,1,7,not included,not included,not included
2022-23,N2,North West,RXR,East Lancashire Hospitals NHS Trust,Burnley General Hospital,Trust,<=6_weeks,A6,2080,not included,251,261,not included,not included,not included,not included,not included,1,7,not included,not included,not included
2022-23,N2,North West,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Royal Preston Hospital & Chorley and South Ribble District General Hospital,Trust,Total_cases,A,1497,not included,130,197,not included,not included,not included,not included,not included,0,11,not included,not included,not included
2022-23,N2,North West,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Royal Preston Hospital & Chorley and South Ribble District General Hospital,Trust,<=2_weeks,A,408,not included,61,186,not included,not included,not included,not included,not included,0,8,not included,not included,not included
2022-23,N2,North West,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Royal Preston Hospital & Chorley and South Ribble District General Hospital,Trust,<=4_weeks,A,776,not included,86,197,not included,not included,not included,not included,not included,0,9,not included,not included,not included
2022-23,N2,North West,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Royal Preston Hospital & Chorley and South Ribble District General Hospital,Trust,<=6_weeks,A6,1419,not included,121,197,not included,not included,not included,not included,not included,0,11,not included,not included,not included
2022-23,N2,North West,REP,Liverpool Women's NHS Foundation Trust,Liverpool Women's Hospital,Trust,Total_cases,A,3233,not included,1180,260,not included,not included,not included,not included,not included,5,8,not included,not included,not included
2022-23,N2,North West,REP,Liverpool Women's NHS Foundation Trust,Liverpool Women's Hospital,Trust,<=2_weeks,A,686,not included,373,252,not included,not included,not included,not included,not included,5,8,not included,not included,not included
2022-23,N2,North West,REP,Liverpool Women's NHS Foundation Trust,Liverpool Women's Hospital,Trust,<=4_weeks,A,949,not included,494,260,not included,not included,not included,not included,not included,5,8,not included,not included,not included
2022-23,N2,North West,REP,Liverpool Women's NHS Foundation Trust,Liverpool Women's Hospital,Trust,<=6_weeks,A6,2212,not included,584,260,not included,not included,not included,not included,not included,5,8,not included,not included,not included
2022-23,N2,North West,REP,Liverpool Women's NHS Foundation Trust,University Hospital Aintree,Trust,Total_cases,A,1982,not included,754,69,not included,not included,not included,not included,not included,0,4,not included,not included,not included
2022-23,N2,North West,REP,Liverpool Women's NHS Foundation Trust,University Hospital Aintree,Trust,<=2_weeks,A,316,not included,214,68,not included,not included,not included,not included,not included,0,4,not included,not included,not included
2022-23,N2,North West,REP,Liverpool Women's NHS Foundation Trust,University Hospital Aintree,Trust,<=4_weeks,A,535,not included,323,69,not included,not included,not included,not included,not included,0,4,not included,not included,not included
2022-23,N2,North West,REP,Liverpool Women's NHS Foundation Trust,University Hospital Aintree,Trust,<=6_weeks,A6,1314,not included,393,69,not included,not included,not included,not included,not included,0,4,not included,not included,not included
2022-23,N2,North West,R0A,Manchester University NHS Foundation Trust,North Manchester General Hospital,Trust,Total_cases,A,723,not included,118,70,not included,not included,not included,not included,not included,2,1,not included,not included,not included
2022-23,N2,North West,R0A,Manchester University NHS Foundation Trust,North Manchester General Hospital,Trust,<=2_weeks,A,233,not included,61,66,not included,not included,not included,not included,not included,2,1,not included,not included,not included
2022-23,N2,North West,R0A,Manchester University NHS Foundation Trust,North Manchester General Hospital,Trust,<=4_weeks,A,537,not included,95,69,not included,not included,not included,not included,not included,2,1,not included,not included,not included
2022-23,N2,North West,R0A,Manchester University NHS Foundation Trust,North Manchester General Hospital,Trust,<=6_weeks,A6,not included,not included,not included,not included,not included,not included,not included,not included,not included,2,1,not included,not included,not included
2022-23,N2,North West,R0A,Manchester University NHS Foundation Trust,Saint Mary's Hospital,Trust,Total_cases,A,2652,not included,396,249,not included,not included,not included,not included,not included,1,6,not included,not included,not included
2022-23,N2,North West,R0A,Manchester University NHS Foundation Trust,Saint Mary's Hospital,Trust,<=2_weeks,A,398,not included,102,247,not included,not included,not included,not included,not included,1,6,not included,not included,not included
2022-23,N2,North West,R0A,Manchester University NHS Foundation Trust,Saint Mary's Hospital,Trust,<=4_weeks,A,511,not included,157,249,not included,not included,not included,not included,not included,1,6,not included,not included,not included
2022-23,N2,North West,R0A,Manchester University NHS Foundation Trust,Saint Mary's Hospital,Trust,<=6_weeks,A6,not included,not included,not included,not included,not included,not included,not included,not included,not included,1,2,not included,not included,not included
2022-23,N2,North West,RBT,Mid Cheshire Hospitals NHS Foundation Trust,Leighton Hospital,Trust,Total_cases,A,1084,not included,153,157,not included,not included,not included,not included,not included,3,8,not included,not included,not included
2022-23,N2,North West,RBT,Mid Cheshire Hospitals NHS Foundation Trust,Leighton Hospital,Trust,<=2_weeks,A,200,not included,26,150,not included,not included,not included,not included,not included,3,7,not included,not included,not included
2022-23,N2,North West,RBT,Mid Cheshire Hospitals NHS Foundation Trust,Leighton Hospital,Trust,<=4_weeks,A,238,not included,48,156,not included,not included,not included,not included,not included,3,8,not included,not included,not included
2022-23,N2,North West,RBT,Mid Cheshire Hospitals NHS Foundation Trust,Leighton Hospital,Trust,<=6_weeks,A6,307,not included,65,157,not included,not included,not included,not included,not included,3,8,not included,not included,not included
2022-23,N2,North West,RNN,North Cumbria Integrated Care NHS Foundation Trust,Cumberland Infirmary,Trust,Total_cases,A,1550,not included,571,97,not included,not included,not included,not included,not included,1,5,not included,not included,not included
2022-23,N2,North West,RNN,North Cumbria Integrated Care NHS Foundation Trust,Cumberland Infirmary,Trust,<=2_weeks,A,686,not included,409,94,not included,not included,not included,not included,not included,1,5,not included,not included,not included
2022-23,N2,North West,RNN,North Cumbria Integrated Care NHS Foundation Trust,Cumberland Infirmary,Trust,<=4_weeks,A,1020,not included,488,97,not included,not included,not included,not included,not included,1,5,not included,not included,not included
2022-23,N2,North West,RNN,North Cumbria Integrated Care NHS Foundation Trust,Cumberland Infirmary,Trust,<=6_weeks,A6,1540,not included,567,97,not included,not included,not included,not included,not included,1,5,not included,not included,not included
2022-23,N2,North West,RM3,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Trust,Total_cases,A,1004,not included,56,131,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RM3,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Trust,<=2_weeks,A,167,not included,17,128,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RM3,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Trust,<=4_weeks,A,293,not included,29,131,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RM3,Northern Care Alliance NHS Foundation Trust,Fairfield General Hospital,Trust,<=6_weeks,A6,993,not included,55,131,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RM3,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Trust,Total_cases,A,1480,not included,169,179,not included,not included,not included,not included,not included,0,2,not included,not included,not included
2022-23,N2,North West,RM3,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Trust,<=2_weeks,A,363,not included,70,167,not included,not included,not included,not included,not included,0,2,not included,not included,not included
2022-23,N2,North West,RM3,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Trust,<=4_weeks,A,645,not included,97,179,not included,not included,not included,not included,not included,0,2,not included,not included,not included
2022-23,N2,North West,RM3,Northern Care Alliance NHS Foundation Trust,Salford Royal Hospital,Trust,<=6_weeks,A6,1181,not included,130,179,not included,not included,not included,not included,not included,0,2,not included,not included,not included
2022-23,N2,North West,RVY,Southport and Ormskirk Hospital NHS Trust,"Southport, Formby and Ormskirk District General Hospitals",Trust,Total_cases,A,1253,not included,581,91,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N2,North West,RVY,Southport and Ormskirk Hospital NHS Trust,"Southport, Formby and Ormskirk District General Hospitals",Trust,<=2_weeks,A,361,not included,265,76,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N2,North West,RVY,Southport and Ormskirk Hospital NHS Trust,"Southport, Formby and Ormskirk District General Hospitals",Trust,<=4_weeks,A,442,not included,324,83,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N2,North West,RVY,Southport and Ormskirk Hospital NHS Trust,"Southport, Formby and Ormskirk District General Hospitals",Trust,<=6_weeks,A6,587,not included,384,89,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N2,North West,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,Whiston Hospital,Trust,Total_cases,A,2108,not included,953,164,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N2,North West,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,Whiston Hospital,Trust,<=2_weeks,A,970,not included,359,159,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N2,North West,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,Whiston Hospital,Trust,<=4_weeks,A,1935,not included,806,163,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N2,North West,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,Whiston Hospital,Trust,<=6_weeks,A6,2071,not included,927,164,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N2,North West,RWJ,Stockport NHS Foundation Trust,Stepping Hill Hospital,Trust,Total_cases,A,1111,not included,204,123,not included,not included,not included,not included,not included,1,9,not included,not included,not included
2022-23,N2,North West,RWJ,Stockport NHS Foundation Trust,Stepping Hill Hospital,Trust,<=2_weeks,A,296,not included,143,104,not included,not included,not included,not included,not included,1,7,not included,not included,not included
2022-23,N2,North West,RWJ,Stockport NHS Foundation Trust,Stepping Hill Hospital,Trust,<=4_weeks,A,364,not included,165,119,not included,not included,not included,not included,not included,1,9,not included,not included,not included
2022-23,N2,North West,RWJ,Stockport NHS Foundation Trust,Stepping Hill Hospital,Trust,<=6_weeks,A6,833,not included,187,120,not included,not included,not included,not included,not included,1,9,not included,not included,not included
2022-23,N2,North West,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Tameside General Hospital,Trust,Total_cases,A,1096,not included,186,135,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Tameside General Hospital,Trust,<=2_weeks,A,343,not included,94,123,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Tameside General Hospital,Trust,<=4_weeks,A,617,not included,130,135,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RMP,Tameside and Glossop Integrated Care NHS Foundation Trust,Tameside General Hospital,Trust,<=6_weeks,A6,790,not included,166,135,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,"Royal Lancaster Infirmary, Furness General and Westmorland General Hospitals",Trust,Total_cases,A,1328,not included,425,95,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,"Royal Lancaster Infirmary, Furness General and Westmorland General Hospitals",Trust,<=2_weeks,A,438,not included,278,94,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,"Royal Lancaster Infirmary, Furness General and Westmorland General Hospitals",Trust,<=4_weeks,A,681,not included,318,94,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,"Royal Lancaster Infirmary, Furness General and Westmorland General Hospitals",Trust,<=6_weeks,A6,1322,not included,424,94,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N2,North West,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Warrington Hospital,Trust,Total_cases,A,1196,not included,65,183,not included,not included,not included,not included,not included,0,4,not included,not included,not included
2022-23,N2,North West,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Warrington Hospital,Trust,<=2_weeks,A,307,not included,31,181,not included,not included,not included,not included,not included,0,4,not included,not included,not included
2022-23,N2,North West,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Warrington Hospital,Trust,<=4_weeks,A,726,not included,45,183,not included,not included,not included,not included,not included,0,4,not included,not included,not included
2022-23,N2,North West,RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Warrington Hospital,Trust,<=6_weeks,A6,1192,not included,65,183,not included,not included,not included,not included,not included,0,4,not included,not included,not included
2022-23,N2,North West,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Trust,Total_cases,A,1181,not included,340,172,not included,not included,not included,not included,not included,0,11,not included,not included,not included
2022-23,N2,North West,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Trust,<=2_weeks,A,226,not included,24,170,not included,not included,not included,not included,not included,0,11,not included,not included,not included
2022-23,N2,North West,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Trust,<=4_weeks,A,301,not included,51,172,not included,not included,not included,not included,not included,0,11,not included,not included,not included
2022-23,N2,North West,RBL,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Trust,<=6_weeks,A6,not included,not included,not included,not included,not included,not included,not included,not included,not included,0,11,not included,not included,not included
2022-23,N2,North West,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",Leigh Infirmary,Trust,Total_cases,A,1510,not included,114,168,not included,not included,not included,not included,not included,0,6,not included,not included,not included
2022-23,N2,North West,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",Leigh Infirmary,Trust,<=2_weeks,A,439,not included,94,161,not included,not included,not included,not included,not included,0,6,not included,not included,not included
2022-23,N2,North West,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",Leigh Infirmary,Trust,<=4_weeks,A,983,not included,110,168,not included,not included,not included,not included,not included,0,6,not included,not included,not included
2022-23,N2,North West,RRF,"Wrightington, Wigan and Leigh NHS Foundation Trust",Leigh Infirmary,Trust,<=6_weeks,A6,1503,not included,114,168,not included,not included,not included,not included,not included,0,6,not included,not included,not included
2022-23,N3,Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,Birmingham Women's Hospital,Trust,Total_cases,A,1969,not included,183,202,not included,not included,not included,not included,not included,4,7,not included,not included,not included
2022-23,N3,Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,Birmingham Women's Hospital,Trust,<=2_weeks,A,351,not included,95,187,not included,not included,not included,not included,not included,4,7,not included,not included,not included
2022-23,N3,Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,Birmingham Women's Hospital,Trust,<=4_weeks,A,958,not included,139,200,not included,not included,not included,not included,not included,4,7,not included,not included,not included
2022-23,N3,Midlands,RQ3,Birmingham Women's and Children's NHS Foundation Trust,Birmingham Women's Hospital,Trust,<=6_weeks,A6,1882,not included,165,200,not included,not included,not included,not included,not included,4,7,not included,not included,not included
2022-23,N3,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital,Trust,Total_cases,A,894,not included,9,148,not included,not included,not included,not included,not included,3,1,not included,not included,not included
2022-23,N3,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital,Trust,<=2_weeks,A,186,not included,5,127,not included,not included,not included,not included,not included,3,1,not included,not included,not included
2022-23,N3,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital,Trust,<=4_weeks,A,375,not included,6,146,not included,not included,not included,not included,not included,3,1,not included,not included,not included
2022-23,N3,Midlands,RFS,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital,Trust,<=6_weeks,A6,706,not included,6,146,not included,not included,not included,not included,not included,3,1,not included,not included,not included
2022-23,N3,Midlands,RY8,Derbyshire Community Health Services NHS Foundation Trust,Buxton Medical Centre,Trust,Total_cases,A,167,not included,11,15,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N3,Midlands,RY8,Derbyshire Community Health Services NHS Foundation Trust,Buxton Medical Centre,Trust,<=2_weeks,A,70,not included,4,15,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N3,Midlands,RY8,Derbyshire Community Health Services NHS Foundation Trust,Buxton Medical Centre,Trust,<=4_weeks,A,133,not included,8,15,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N3,Midlands,RY8,Derbyshire Community Health Services NHS Foundation Trust,Buxton Medical Centre,Trust,<=6_weeks,A6,164,not included,11,15,not included,not included,not included,not included,not included,0,0,not included,not included,not included
2022-23,N3,Midlands,RY8,Derbyshire Community Health Services NHS Foundation Trust,Ilkeston Community Hospital,Trust,Total_cases,A,155,not included,46,15,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N3,Midlands,RY8,Derbyshire Community Health Services NHS Foundation Trust,Ilkeston Community Hospital,Trust,<=2_weeks,A,19,not included,2,12,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N3,Midlands,RY8,Derbyshire Community Health Services NHS Foundation Trust,Ilkeston Community Hospital,Trust,<=4_weeks,A,47,not included,7,15,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N3,Midlands,RY8,Derbyshire Community Health Services NHS Foundation Trust,Ilkeston Community Hospital,Trust,<=6_weeks,A6,101,not included,12,15,not included,not included,not included,not included,not included,0,1,not included,not included,not included
2022-23,N3,Midlands,RLT,George Eliot Hospital NHS Trust,George Eliot Hospital,Trust,Total_cases,A,755,not included,150,93,not included,not included,not included,not included,not included,2,1,not included,not included,not included
2022-23,N3,Midlands,RLT,George Eliot Hospital NHS Trust,George Eliot Hospital,Trust,<=2_weeks,A,117,not included,47,63,not included,not included,not included,not included,not included,2,1,not included,not included,not included
2022-23,N3,Midlands,RLT,George Eliot Hospital NHS Trust,George Eliot Hospital,Trust,<=4_weeks,A,187,not included,76,91,not included,not included,not included,not included,not included,2,1,not included,not included,not included
2022-23,N3,Midlands,RLT,George Eliot Hospital NHS Trust,George Eliot Hospital,Trust,<=6_weeks,A6,215,not included,83,93,not included,not included,not included,not included,not included,2,1,not included,not included,not included
2022-23,N3,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,Kettering General Hospital,Trust,Total_cases,A,1384,not included,136,220,not included,not included,not included,not included,not included,6,9,not included,not included,not included
2022-23,N3,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,Kettering General Hospital,Trust,<=2_weeks,A,453,not included,79,216,not included,not included,not included,not included,not included,6,9,not included,not included,not included
2022-23,N3,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,Kettering General Hospital,Trust,<=4_weeks,A,721,not included,103,220,not included,not included,not included,not included,not included,6,9,not included,not included,not included
2022-23,N3,Midlands,RNQ,Kettering General Hospital NHS Foundation Trust,Kettering General Hospital,Trust,<=6_weeks,A6,1251,not included,117,220,not included,not included,not included,not included,not included,6,9,not included,not included,not included
2022-23,N3,Midlands,RNS,Northampton General Hospital NHS Trust,Northampton General Hospital,Trust,Total_cases,A,1079,not included,81,187,not included,not included,not included,not included,not included,2,6,not included,not included,not included
2022-23,N3,Midlands,RNS,Northampton General Hospital NHS Trust,Northampton General Hospital,Trust,<=2_weeks,A,320,not included,53,173,not included,not included,not included,not included,not included,2,5,not included,not included,not included
2022-23,N3,Midlands,RNS,Northampton General Hospital NHS Trust,Northampton General Hospital,Trust,<=4_weeks,A,559,not included,66,186,not included,not included,not included,not included,not included,2,6,not included,not included,not included
2022-23,N3,Midlands,RNS,Northampton General Hospital NHS Trust,Northampton General Hospital,Trust,<=6_weeks,A6,1022,not included,74,187,not included,not included,not included,not included,not included,2,6,not included,not included,not included
2022-23,N3,Midlands,RX1,Nottingham University Hospitals NHS Trust,Circle Nottingham NHS Treatment Centre,Trust,Total_cases,A,1593,not included,955,90,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N3,Midlands,RX1,Nottingham University Hospitals NHS Trust,Circle Nottingham NHS Treatment Centre,Trust,<=2_weeks,A,347,not included,251,73,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N3,Midlands,RX1,Nottingham University Hospitals NHS Trust,Circle Nottingham NHS Treatment Centre,Trust,<=4_weeks,A,469,not included,349,83,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N3,Midlands,RX1,Nottingham University Hospitals NHS Trust,Circle Nottingham NHS Treatment Centre,Trust,<=6_weeks,A6,692,not included,518,88,not included,not included,not included,not included,not included,0,3,not included,not included,not included
2022-23,N3,Midlands,RX1,Nottingham University Hospitals NHS Trust,Nottingham City Hospital,Trust,Total_cases,A,1087,not included,251,170,not included,not included,not included,not included,not included,2,12,not included,not included,not included
2022-23,N3,Midlands,RX1,Nottingham University Hospitals NHS Trust,Nottingham City Hospital,Trust,<=2_weeks,A,359,not included,136,154,not included,not included,not included,not included,not included,2,11,not included,not included,not included
2022-23,N3,Midlands,RX1,Nottingham University Hospitals NHS Trust,Nottingham City Hospital,Trust,<=4_weeks,A,616,not included,179,170,not included,not included,not included,not included,not included,2,12,not included,not included,not included
2022-23,N3,Midlands,RX1,Nottingham University Hospitals NHS Trust,Nottingham City Hospital,Trust,<=6_weeks,A6,907,not included,208,170,not included,not included,not included,not included,not included,2,12,not included,not included,not included
2022-23,N3,Midlands,RXK,Sandwell and West Birmingham Hospitals NHS Trust,"City Hospital, Birmingham",Trust,Total_cases,A,796,not included,12,74,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N3,Midlands,RXK,Sandwell and West Birmingham Hospitals NHS Trust,"City Hospital, Birmingham",Trust,<=2_weeks,A,154,not included,7,73,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N3,Midlands,RXK,Sandwell and West Birmingham Hospitals NHS Trust,"City Hospital, Birmingham",Trust,<=4_weeks,A,321,not included,10,74,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N3,Midlands,RXK,Sandwell and West Birmingham Hospitals NHS Trust,"City Hospital, Birmingham",Trust,<=6_weeks,A6,696,not included,11,74,not included,not included,not included,not included,not included,2,2,not included,not included,not included
2022-23,N3,Midlands,RXK,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell General Hospital,Trust,Total_cases,A,1245,not included,20,167,not included,not included,not included,not included,not included,1,5,not included,not included,not included
2022-23,N3,Midlands,RXK,Sandwell and West Birmingham Hospitals NHS Trust,Sandwell General Hospital,Trust,<=2_weeks,A,268,not included,10,157,not included,not included,not included,not included,not included,1,5,not included,not included,not included
